epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8361,1.88491,5.27314,1.86898,0.82041,0.02703,0.04883,0.02931,1.5968,3.77777,1.70592,0.000182295,0.000182295,0.000182295
2,53.9797,1.64712,4.20514,1.555,0.57982,0.08167,0.06388,0.03581,1.57971,3.32976,1.72891,0.000360492,0.000360492,0.000360492
3,76.9547,1.61181,3.92734,1.54346,0.43211,0.17727,0.07706,0.03677,1.68617,3.16309,1.73689,0.000531494,0.000531494,0.000531494
4,100.801,1.59236,3.62368,1.50958,0.39867,0.18347,0.11221,0.05863,1.67013,3.90556,1.69748,0.000523621,0.000523621,0.000523621
5,123.074,1.53145,3.50804,1.46885,0.36973,0.15348,0.10796,0.06193,1.73584,4.01763,1.79711,0.000512828,0.000512828,0.000512828
6,146.906,1.57718,3.42386,1.52352,0.54076,0.19134,0.13283,0.07104,1.61126,3.15671,1.60946,0.000502035,0.000502035,0.000502035
7,168.81,1.50556,3.18104,1.46346,0.60289,0.23896,0.21792,0.12059,1.52518,2.56958,1.61075,0.000491242,0.000491242,0.000491242
8,192.056,1.48036,2.93753,1.4157,0.53082,0.31543,0.2809,0.15739,1.53684,2.47179,1.5948,0.000480449,0.000480449,0.000480449
9,215.719,1.44417,2.81999,1.40792,0.47031,0.33819,0.26571,0.15055,1.51318,2.46697,1.5404,0.000469656,0.000469656,0.000469656
10,238.055,1.43763,2.66404,1.41396,0.6264,0.30766,0.32458,0.1886,1.45885,2.19299,1.56089,0.000458864,0.000458864,0.000458864
11,263.337,1.44091,2.48813,1.43107,0.65286,0.34948,0.39298,0.23917,1.45156,2.11591,1.57974,0.000448071,0.000448071,0.000448071
12,287.605,1.3994,2.3681,1.36336,0.64007,0.33538,0.40721,0.23696,1.47953,2.1052,1.61091,0.000437278,0.000437278,0.000437278
13,311.852,1.43393,2.40923,1.40802,0.70902,0.41168,0.51887,0.30762,1.42254,1.75254,1.54281,0.000426485,0.000426485,0.000426485
14,337.111,1.36283,2.16869,1.34006,0.67575,0.46364,0.51573,0.31493,1.41377,1.77466,1.49187,0.000415692,0.000415692,0.000415692
15,361.398,1.40506,2.16206,1.38058,0.55483,0.5645,0.58892,0.36179,1.40704,1.68417,1.48353,0.000404899,0.000404899,0.000404899
16,385.495,1.32802,1.97233,1.32312,0.60374,0.52327,0.57624,0.35039,1.39787,1.68414,1.51426,0.000394106,0.000394106,0.000394106
17,411.181,1.35869,1.88145,1.32473,0.64304,0.50663,0.6506,0.4206,1.34172,1.69891,1.47815,0.000383313,0.000383313,0.000383313
18,435.455,1.30355,1.86274,1.31357,0.7579,0.55816,0.66026,0.39759,1.36234,1.51839,1.46368,0.00037252,0.00037252,0.00037252
19,459.689,1.29774,1.76512,1.29373,0.78098,0.60464,0.70005,0.45475,1.332,1.43492,1.42173,0.000361727,0.000361727,0.000361727
20,484.985,1.30751,1.74525,1.29907,0.78131,0.60723,0.71584,0.44357,1.33102,1.34992,1.4295,0.000350934,0.000350934,0.000350934
21,509.664,1.30299,1.68013,1.30203,0.78707,0.6456,0.71745,0.45368,1.34479,1.39808,1.45229,0.000340141,0.000340141,0.000340141
22,533.252,1.2794,1.66219,1.2935,0.86992,0.65208,0.75255,0.4517,1.31148,1.28066,1.40955,0.000329348,0.000329348,0.000329348
23,558.316,1.28397,1.58639,1.286,0.79536,0.64845,0.81819,0.53095,1.34499,1.30874,1.43198,0.000318555,0.000318555,0.000318555
24,582.417,1.27287,1.48932,1.27734,0.79193,0.7131,0.76729,0.48433,1.35036,1.18801,1.40729,0.000307762,0.000307762,0.000307762
25,606.511,1.23722,1.4628,1.25911,0.81163,0.71137,0.76536,0.49025,1.29544,1.17158,1.41874,0.000296969,0.000296969,0.000296969
26,631.673,1.24858,1.4759,1.27701,0.79189,0.69074,0.78109,0.50606,1.25335,1.25264,1.37175,0.000286176,0.000286176,0.000286176
27,654.866,1.20284,1.37843,1.25145,0.80407,0.70261,0.77326,0.50418,1.28659,1.15618,1.39946,0.000275384,0.000275384,0.000275384
28,680.102,1.20621,1.32889,1.24565,0.86204,0.72094,0.80463,0.51585,1.28943,1.133,1.38302,0.000264591,0.000264591,0.000264591
29,705.289,1.19412,1.33076,1.22602,0.86532,0.72419,0.8101,0.518,1.27225,1.05165,1.3769,0.000253798,0.000253798,0.000253798
30,728.791,1.18529,1.26107,1.21222,0.6987,0.84476,0.8651,0.56472,1.26526,1.02151,1.37392,0.000243005,0.000243005,0.000243005
31,753.829,1.18033,1.25399,1.22984,0.85486,0.72652,0.81889,0.54712,1.26094,1.04406,1.38407,0.000232212,0.000232212,0.000232212
32,779.188,1.19351,1.248,1.22707,0.85642,0.76179,0.86825,0.57745,1.22719,0.95822,1.34382,0.000221419,0.000221419,0.000221419
33,802.945,1.14385,1.15814,1.20631,0.8845,0.80363,0.87287,0.57555,1.24893,0.9293,1.36498,0.000210626,0.000210626,0.000210626
34,828.141,1.15603,1.18371,1.21436,0.91607,0.73852,0.8719,0.58155,1.26663,0.9872,1.35584,0.000199833,0.000199833,0.000199833
35,853.147,1.11695,1.17062,1.19696,0.89891,0.74727,0.87141,0.57852,1.25831,0.98245,1.351,0.00018904,0.00018904,0.00018904
36,874.965,1.12556,1.11115,1.19282,0.91218,0.73799,0.84969,0.5646,1.25067,0.97078,1.36406,0.000178247,0.000178247,0.000178247
37,898.501,1.12812,1.10852,1.18373,0.89522,0.77179,0.85673,0.58267,1.21093,0.94906,1.32282,0.000167454,0.000167454,0.000167454
38,920.448,1.1272,1.14979,1.19096,0.92742,0.77895,0.88401,0.58692,1.23457,0.88539,1.33633,0.000156661,0.000156661,0.000156661
39,943.832,1.12674,1.08647,1.18349,0.89302,0.81352,0.87544,0.58462,1.21488,0.88939,1.34375,0.000145868,0.000145868,0.000145868
40,967.03,1.08051,1.07812,1.16754,0.88216,0.81691,0.88053,0.59003,1.21275,0.87927,1.3366,0.000135075,0.000135075,0.000135075
41,988.909,1.11165,1.06474,1.18452,0.89793,0.82094,0.89771,0.59942,1.23024,0.88064,1.35921,0.000124282,0.000124282,0.000124282
42,1013.34,1.01141,0.85244,1.1891,0.92457,0.77604,0.87663,0.57743,1.21171,0.89458,1.34846,0.000113489,0.000113489,0.000113489
43,1033.87,0.96979,0.79532,1.16303,0.92023,0.77903,0.88057,0.58377,1.20472,0.88197,1.33886,0.000102696,0.000102696,0.000102696
